MESH2_ID,図名・漢字,図名・よみ,号数
664303.000,瀬戸瀬,せとせ,紋別12号-2
664304.000,遠軽,えんがる,紋別8号-4
664305.000,若里,わかさと,紋別8号-2
664306.000,佐呂間,さろま,紋別4号-4
664307.000,浜佐呂間,はまさろま,紋別4号-2
664400.000,卯原内,うばらない,網走16号-4
664401.000,能取湖,のとろこ,網走16号-2
664402.000,網走,あばしり,網走12号-4
664406.000,,,
664407.000,宇登呂,うとろ,網走4号-2
664500.000,知床峠,しれとことうげ,知床岬16号-4
664501.000,羅臼,らうす,知床岬16号-2
664502.000,,,
654174.000,,,
654175.000,留萌,るもい,留萌5号-1
654176.000,ポロシリ山,ぽろしりやま,留萌1号-3
654177.000,ホロピリ湖,ほろぴりこ,留萌1号-1
654270.000,鷹泊貯水池,たかどまりちょすいち,旭川13号-3
654271.000,沼牛,ぬまうし,旭川13号-1
654272.000,福原,ふくはら,旭川9号-3
654273.000,蘭留,らんる,旭川9号-1
654274.000,協和,きょうわ,旭川5号-3
654275.000,中愛別山,なかあいべつやま,旭川5号-1
654276.000,宇江内山,うえんないざん,旭川1号-3
654277.000,天塩岳,てしおだけ,旭川1号-1
654370.000,雄柏山,ゆうはくざん,北見13号-3
654371.000,旧白滝,きゅうしらたき,北見13号-1
654372.000,丸瀬布南部,まるせっぷなんぶ,北見9号-3
654373.000,瀬戸瀬温泉,せとせおんせん,北見9号-1
654374.000,生田原,いくたはら,北見5号-3
654375.000,若佐,わかさ,北見5号-1
654376.000,佐呂間山,さろまやま,北見1号-3
654377.000,日吉,ひよし,北見1号-1
654470.000,越歳,こしとし,斜里13号-3
654471.000,呼人,よびと,斜里13号-1
654472.000,藻琴,もこと,斜里9号-3
654473.000,浜小清水,はまこしみず,斜里9号-1
654474.000,,,
654475.000,,,
654476.000,峰浜,みねはま,斜里1号-3
654477.000,真鯉,まこい,斜里1号-1
654570.000,遠音別岳,おんねべつだけ,標津13号-3
654571.000,,,
654162.000,,,
654163.000,,,
654164.000,増毛,ましけ,留萌5号-4
654165.000,大和田,おおわだ,留萌5号-2
654166.000,幌糠,ほろぬか,留萌1号-4
654167.000,恵比島,えびしま,留萌1号-2
654260.000,鷹泊,たかどまり,旭川13号-4
654261.000,江丹別,えたんべつ,旭川13号-2
654262.000,鷹栖,たかす,旭川9号-4
654263.000,比布,ぴっぷ,旭川9号-2
654264.000,愛別,あいべつ,旭川5号-4
654265.000,中愛別,なかあいべつ,旭川5号-2
654266.000,上川,かみかわ,旭川1号-4
654267.000,中越,なかこし,旭川1号-2
654360.000,北見峠,きたみとうげ,北見13号-4
654361.000,白滝,しらたき,北見13号-2
654362.000,上武利,かみむりい,北見9号-4
654363.000,岩戸,いわと,北見9号-2
654364.000,伊吹,いぶき,北見5号-4
654365.000,花園,はなぞの,北見5号-2
654366.000,上仁頃,かみにころ,北見1号-4
654367.000,端野,たんの,北見1号-2
654460.000,緋牛内,ひうしない,斜里13号-4
654461.000,女満別,めまんべつ,斜里13号-2
654462.000,東藻琴,ひがしもこと,斜里9号-4
654463.000,小清水,こしみず,斜里9号-2
654464.000,清里,きよさと,斜里5号-4
654465.000,斜里,しゃり,斜里5号-2
654466.000,朱円,しゅえん,斜里1号-4
654467.000,海別岳,うなべつだけ,斜里1号-2
654560.000,根室峯浜,ねむろみねはま,標津13号-4
654561.000,,,
654152.000,,,
654153.000,別苅,べつかり,留萌10号-1
654154.000,暑寒沢,しょかんざわ,留萌6号-3
654155.000,信砂御料,のぶしゃごりょう,留萌6号-1
654156.000,美葉牛,びばうし,留萌2号-3
654157.000,石狩沼田,いしかりぬまた,留萌2号-1
654250.000,多度志,たどし,旭川14号-3
654251.000,上湯内,かみゆない,旭川14号-1
654252.000,旭川,あさひかわ,旭川10号-3
654253.000,永山,ながやま,旭川10号-1
654254.000,当麻,とうま,旭川6号-3
654255.000,東山,ひがしやま,旭川6号-1
654256.000,菊水,きくすい,旭川2号-3
654257.000,ニセイカウシュ,にせいかうしゅっぺやま,旭川2号-1
654350.000,平山,ひらやま,北見14号-3
654351.000,上支湧別,かみしゆうべつ,北見14号-1
654352.000,分岐,ぶんき,北見10号-3
654353.000,花丘,はなおか,北見10号-1
654354.000,留辺蘂西部,るべしべせいぶ,北見6号-3
654355.000,留辺蘂東部,るべしべとうぶ,北見6号-1
654356.000,相内,あいのない,北見2号-3
654357.000,北見,きたみ,北見2号-1
654450.000,美幌,びほろ,斜里14号-3
654451.000,北見福住,きたみふくずみ,斜里14号-1
654452.000,末広,すえひろ,斜里10号-3
654453.000,上徳,かみとく,斜里10号-1
654454.000,札弦,さっつる,斜里6号-3
654455.000,斜里岳,しゃりだけ,斜里6号-1
654456.000,瑠辺斯岳,るべすだけ,斜里2号-3
654457.000,西古多糠,にしこたぬか,斜里2号-1
654550.000,薫別,くんべつ,標津14号-3
654551.000,,,
654142.000,,,
654143.000,雄冬,おふゆ,留萌10号-2
654144.000,暑寒別岳,しょかんべつだけ,留萌6号-4
654145.000,国領,こくりょう,留萌6号-2
654146.000,恵岱別,えたいべつ,留萌2号-4
654147.000,妹背牛,もせうし,留萌2号-2
654240.000,石狩深川,いしかりふかがわ,旭川14号-4
654241.000,神居古潭,かむいこたん,旭川14号-2
654242.000,雨紛,うぶん,旭川10号-4
654243.000,西神楽,にしかぐら,旭川10号-2
654244.000,岐登牛山,きとうしやま,旭川6号-4
654245.000,石狩瑞穂,いしかりみずほ,旭川6号-2
654246.000,愛山溪温泉,あいざんけいおんせん,旭川2号-4
654247.000,層雲峡,そううんきょう,旭川2号-2
654340.000,大函,おおばこ,北見14号-4
654341.000,武利岳,むりいだけ,北見14号-2
654342.000,富士見,ふじみ,北見10号-4
654343.000,大和,やまと,北見10号-2
654344.000,置戸,おけと,北見6号-4
654345.000,訓子府,くんねっぷ,北見6号-2
654346.000,常川,つねかわ,北見2号-4
654347.000,開成,かいせい,北見2号-2
654440.000,津別,つべつ,斜里14号-4
654441.000,古梅,ふるうめ,斜里14号-2
654442.000,藻琴山,もことやま,斜里10号-4
654443.000,野上峠,のがみとうげ,斜里10号-2
654444.000,緑,みどり,斜里6号-4
654445.000,サマッケヌプリ,さまっけぬぷりやま,斜里6号-2
654446.000,俣落岳,またおちだけ,斜里2号-4
654447.000,武佐岳,むさだけ,斜里2号-2
654540.000,伊茶仁,いちゃに,標津14号-4
654541.000,,,
654132.000,,,
654133.000,浜益,はまます,留萌11号-1
654134.000,御料地,ごりょうち,留萌7号-3
654135.000,吉野,よしの,留萌7号-1
654136.000,石狩大和,いしかりやまと,留萌3号-3
654137.000,江部乙,えべおつ,留萌3号-1
654230.000,イルムケップ山,いるむけっぷやま,旭川15号-3
654231.000,石狩新城,いしかりしんじょう,旭川15号-1
654232.000,神楽岳,かぐらだけ,旭川11号-3
654233.000,美瑛,びえい,旭川11号-1
654234.000,志比内,しびない,旭川7号-3
654235.000,俵真布,たわらまっぷ,旭川7号-1
654236.000,旭岳,あさひだけ,旭川3号-3
654237.000,白雲岳,はくうんだけ,旭川3号-1
654330.000,大雪湖,たいせつこ,北見15号-3
654331.000,石北峠,せきほくとうげ,北見15号-1
654332.000,曲り沢峠,まがりさわとうげ,北見11号-3
654333.000,常元,つねもと,北見11号-1
654334.000,北見勝山,きたみかつやま,北見7号-3
654335.000,小利別,しょうとしべつ,北見7号-1
654336.000,訓津峠,くんしんとうげ,北見3号-3
654337.000,本岐,ほんき,北見3号-1
654430.000,上里,かみさと,斜里15号-3
654431.000,サマッカリヌプ,さまっかりぬぷり,斜里15号-1
654432.000,屈斜路湖,くっしゃろこ,斜里11号-3
654433.000,川湯,かわゆ,斜里11号-1
654434.000,摩周湖北部,ましゅうこほくぶ,斜里7号-3
654435.000,養老牛温泉,ようろううしおんせん,斜里7号-1
654436.000,第二俣落,だいにまたおち,斜里3号-3
654437.000,武佐,むさ,斜里3号-1
654530.000,川北,かわきた,標津15号-3
654531.000,標津,しべつ,標津15号-1
654532.000,野付崎,のつけさき,標津11号-3
654533.000,,,
654122.000,,,
654123.000,柏木,かしわぎ,留萌11号-2
654124.000,四番川,よんばんがわ,留萌7号-4
654125.000,南幌加,みなみほろか,留萌7号-2
654126.000,総進,そうしん,留萌3号-4
654127.000,滝川,たきかわ,留萌3号-2
654220.000,赤平,あかびら,旭川15号-4
654221.000,芦別,あしべつ,旭川15号-2
654222.000,瑠辺蘂山,るべしべやま,旭川11号-4
654223.000,美馬牛,びばうし,旭川11号-2
654224.000,置杵牛,おききにうし,旭川7号-4
654225.000,藤山,ふじやま,旭川7号-2
654226.000,トムラウシ山,とむらうしやま,旭川3号-4
654227.000,五色ヶ原,ごしきがはら,旭川3号-2
654320.000,石狩岳,いしかりだけ,北見15号-4
654321.000,十勝三股,とかちみつまた,北見15号-2
654322.000,クマネシリ岳,くまねしりだけ,北見11号-4
654323.000,東三国山,ひがしみくにやま,北見11号-2
654324.000,勲袮別川上流,くんねべつがわじょうりゅう,北見7号-4
654325.000,釧路川上,くしろかわかみ,北見7号-2
654326.000,上陸別,かみりくべつ,北見3号-4
654327.000,北見相生,きたみあいおい,北見3号-2
654420.000,木禽岳,ききんだけ,斜里15号-4
654421.000,コトニヌプリ,ことにぬぷり,斜里15号-2
654422.000,和琴,わこと,斜里11号-4
654423.000,美留和,びるわ,斜里11号-2
654424.000,摩周湖南部,ましゅうこなんぶ,斜里7号-4
654425.000,養老牛,ようろううし,斜里7号-2
654426.000,西竹,にしたけ,斜里3号-4
654427.000,中標津,なかしべつ,斜里3号-2
654520.000,俵橋,たわらばし,標津15号-4
654521.000,尾岱沼,おだいとう,標津15号-2
654522.000,,,
654523.000,,,
654012.000,,,
654013.000,,,
654014.000,,,
654112.000,,,
654113.000,濃昼,ごきびる,留萌12号-1
654114.000,二番川,にばんがわ,留萌8号-3
654115.000,ピンネシリ,ぴんねしり,留萌8号-1
654116.000,浦臼,うらうす,留萌4号-3
654117.000,砂川,すながわ,留萌4号-1
654210.000,文珠,もんじゅ,旭川16号-3
654211.000,上芦別,かみあしべつ,旭川16号-1
654212.000,野花南,のかなん,旭川12号-3
654213.000,上富良野,かみふらの,旭川12号-1
654214.000,旭野,あさひの,旭川8号-3
654215.000,白金温泉,しろがねおんせん,旭川8号-1
654216.000,オプタテシケ山,おぷたてしけやま,旭川4号-3
654217.000,トムラウシ川,とむらうしがわ,旭川4号-1
654310.000,ニペソツ山,にぺそつやま,北見16号-3
654311.000,幌加,ほろか,北見16号-1
654312.000,幌加美里別ダム,ほろかびりべつだむ,北見12号-3
654313.000,喜登牛山,きとうしやま,北見12号-1
654314.000,西斗満,にしとまむ,北見8号-3
654315.000,陸別,りくべつ,北見8号-1
654316.000,陸別東部,りくべつとうぶ,北見4号-3
654317.000,イユダニヌプリ,いゆだにぬぷりやま,北見4号-1
654410.000,阿寒湖,あかんこ,斜里16号-3
654411.000,雄阿寒岳,おあかんだけ,斜里16号-1
654412.000,辺計礼山,ぺけれやま,斜里12号-3
654413.000,弟子屈,てしかが,斜里12号-1
654414.000,南弟子屈,みなみてしかが,斜里8号-3
654415.000,虹別,にじべつ,斜里8号-1
654416.000,計根別,けねべつ,斜里4号-3
654417.000,上春別,かみしゅんべつ,斜里4号-1
654510.000,中春別,なかしゅんべつ,標津16号-3
654511.000,床丹,とこたん,標津16号-1
654512.000,,,
654513.000,,,
654514.000,,,
654515.000,,,
654516.000,,,
654517.000,,,
654002.000,,,
654003.000,,,
654004.000,積丹岬,しゃこたんみさき,岩内5号北-4
654102.000,,,
654103.000,厚田,あつた,留萌12号-2
654104.000,青山中央,あおやまちゅうおう,留萌8号-4
654105.000,月形,つきがた,留萌8号-2
654106.000,晩生内,おそきない,留萌4号-4
654107.000,茶志内,ちゃしない,留萌4号-2
654200.000,美唄山,びばいやま,旭川16号-4
654201.000,奥芦別,おくあしべつ,旭川16号-2
654202.000,島ﾉ下,しまのした,旭川12号-4
